n,prec,iters,residual,time_setup,time_solve, total time
10000,identity,5000,2.8092e-13,0,0.236499,0.236499
10000,diag_jacobi,5000,2.8092e-13,0.000235403,0.227656,0.227891
10000,blockjac,2077,6.86361e-13,0.000557941,0.348668,0.349226
10000,as,196,7.12231e-13,0.000826593,0.0434886,0.0443152
20000,identity,10000,4.88522e-13,0,0.860254,0.860254
20000,diag_jacobi,10000,4.88522e-13,0.00038025,0.896034,0.896414
20000,blockjac,4114,7.88736e-13,0.000897033,1.32638,1.32727
20000,as,376,8.54232e-13,0.00187145,0.157922,0.159794
40000,identity,20000,9.5464e-13,0,3.54555,3.54555
40000,diag_jacobi,20000,9.5464e-13,0.000622936,3.69219,3.69282
40000,blockjac,8185,8.03066e-13,0.00111222,5.40521,5.40632
40000,as,729,4.47335e-13,0.00334321,0.595702,0.599045
80000,identity,40000,1.17574e-13,0,14.1485,14.1485
80000,diag_jacobi,40000,1.17574e-13,0.00129581,15.0287,15.03
80000,blockjac,16319,8.68199e-13,0.00405044,21.3587,21.3628
80000,as,1433,7.43513e-13,0.0107542,2.43085,2.44161
160000,identity,80000,8.62368e-13,0,63.8344,63.8344
160000,diag_jacobi,80000,8.62368e-13,0.00303333,68.703,68.706
160000,blockjac,32616,9.90919e-13,0.00727668,89.0547,89.062
160000,as,2848,7.53792e-13,0.015774,10.8434,10.8592
